step,emergency_braking,stopping_distance,Radar_distance,speed,steer
0,0,4.920244016527265e-18,4.801476,8.216188161596232e-09,-0.0026901876527713623
1,0,9.832778901741233e-17,4.5068064,-3.672951490720912e-08,0.0005375019570032133
2,0,3.6303091595591736e-19,4.5068064,-2.231767050324739e-09,-0.0003457999725702767
3,0,1.3085978698979577e-18,5.0075746,-4.2372116745567456e-09,0.0015660975203969452
4,0,9.192237981696126e-17,5.0075746,3.5513026498578075e-08,0.0014827943039658923
5,0,7.753184223636398e-17,4.7467437,3.261497931139791e-08,0.0013105558583982727
6,0,7.567336406255468e-17,4.8220587,3.2221709373313055e-08,0.0008704639554295252
7,0,5.2644696913547196e-18,4.8220587,-8.498736621721299e-09,0.0007497298793907255
8,0,1.7124785250113013e-16,5.2779636,-4.847185303158427e-08,0.0011434100777353588
9,0,2.5784714573634265e-18,5.145363,-5.947825518206314e-09,0.0007487811471108166
10,0,2.4279103916612444e-18,4.9603534,-5.771562229898615e-09,0.0006029760079498388
11,0,7.551476026760484e-17,5.162729,3.218792492335501e-08,0.001146305176690759
12,0,7.109670943517515e-17,5.278004,3.12321445541385e-08,-3.204432387304907e-05
13,0,1.1413952122676961e-17,5.0423613,-1.2513969119473162e-08,-5.671599394223932e-07
14,0,5.3191502018100295e-17,5.277896,2.7014577688506183e-08,-0.0001197895823056645
15,0,4.7357275640223165e-17,5.277896,2.5490033773690097e-08,9.113372659712216e-05
16,0,4.6294715680621976e-17,5.1747894,2.5202450260602313e-08,0.000849223015590938
17,0,2.354556005225259e-16,4.560973,-5.683705515919219e-08,0.00036531450045917404
18,0,2.5614128693794432e-17,5.2737193,-1.8746355530578727e-08,0.000166994218635953
19,0,4.025280080710468e-17,5.0793667,2.350039206212263e-08,-0.00029022011480837016
20,0,2.655231122370991e-17,5.1972528,-1.9086584555370298e-08,0.00037967151061550186
21,0,3.0963676050234996e-17,5.1972528,-2.0611201697359234e-08,-0.0008454273145861971
22,0,2.76084422308813e-19,5.2779365,-1.9462472284057118e-09,-0.0003559195621862848
23,0,1.8622640274443715e-18,4.8057165,-5.054726744002764e-09,-0.00027553397492713556
24,0,7.235043155859883e-17,5.2781696,3.150631557297641e-08,9.483440832529044e-05
25,0,6.221254261746161e-17,4.7428904,2.9215682170909057e-08,9.312349335434824e-05
26,0,1.686323694709556e-17,5.129654,-1.521064137090054e-08,-0.0003339678085754491
27,0,3.523855445312406e-17,5.129654,2.198801871694815e-08,-4.3067253360044444e-05
28,0,2.7787727850320623e-17,5.2525225,-1.9525563400486014e-08,-0.00016662589721185998
29,0,2.880278152234697e-17,5.2525225,-1.9878987964345682e-08,-0.0009122938231852847
30,0,0.0,4.812238,0.0,0.00017580791352500618
31,0,2.859810795470304e-19,4.3206234,-1.980823165097091e-09,-0.000502962578396375
32,0,2.4239352083333985e-18,5.19075,-5.766835445747887e-09,-0.00038698791101192035
33,0,5.085255448896195e-18,5.277931,-8.352826153994575e-09,1.237747117936387e-05
34,0,5.690456021404945e-17,5.2780356,2.7941556258318156e-08,-0.0006617788485027198
35,0,1.7716257113095533e-17,5.277865,-1.5590607672302922e-08,-0.0006411384437334876
36,0,3.5138612268630233e-17,4.8493037,2.195681580570386e-08,-0.0005214602959990706
37,0,3.847177073657499e-17,4.500051,2.2974609779184692e-08,-0.0005899922797125861
38,0,3.723324391521966e-17,4.822967,2.2601772198586858e-08,-0.00016659743824755076
39,0,9.73808625501334e-19,4.9277678,-3.6552228853899326e-09,-0.001018822007097483
40,0,4.5514162980773756e-18,4.90803,-7.902242188747546e-09,2.5946969963593303e-05
41,0,1.265112782926982e-17,5.0685177,-1.3174728605082608e-08,-8.927500110367524e-05
42,0,6.498364051268813e-08,5.024554,0.0009442327826516516,-0.0009420995356518526
43,0,0.02717574198840274,4.7568393,0.6106154109428337,-0.0007441056325365692
44,1,0.09858144245669653,3.8065472,1.162986410284263,0.0004689824472895468
45,0,0.1988850239065486,5.1376944,1.651878484634341,-4.158462818013828e-05
