step,emergency_braking,stopping_distance,Radar_distance,speed,steer
0,0,4.920244016527265e-18,4.801476,8.216188161596232e-09,-0.019617522312442123
1,0,9.832778901741233e-17,4.5068064,-3.672951490720912e-08,0.003553115378609776
2,0,3.6303091595591736e-19,4.8167744,-2.231767050324739e-09,-0.0004642017761511401
3,0,2.5092507327507193e-18,5.0075746,-5.867445786144076e-09,0.00132614348848055
4,0,9.361741764369496e-17,5.0075746,3.5838958830740256e-08,0.0012980666203572812
5,0,7.858200189524208e-17,4.7467437,3.2835119399854804e-08,0.0010793862086644218
6,0,7.670288393471142e-17,4.8220587,3.2440153630712674e-08,0.0006653861026438154
7,0,4.99529319902594e-18,5.2779636,-8.27861236504258e-09,0.0005492903890976237
8,0,5.197258722730896e-18,5.1930394,-8.44431108355607e-09,0.0009178056092189914
9,0,4.625289409529846e-18,5.145363,-7.966113901944253e-09,0.0006027654578980226
10,0,7.083009249155188e-17,4.9603534,3.117352833710185e-08,0.0004355495729638242
11,0,5.774810066690588e-17,5.162729,2.814789408019628e-08,0.0008952653682964796
12,0,4.9955912802404354e-17,5.277884,2.618005201769064e-08,-0.0003153060239955563
13,0,5.514599781301258e-17,5.0423613,2.7506419068910673e-08,-0.0002811759956155489
14,0,5.848744460354446e-17,5.277896,2.8327508537826444e-08,-0.00036655483064437793
15,0,5.4012428239361704e-17,5.277995,2.722224302742231e-08,-0.00023106669225615083
16,0,1.2536110322167938e-17,5.141394,-1.3114702955848604e-08,0.0006469825372229376
