step,monitor_result,risk,rgb_blur,rgb_left_blur,rgb_right_blur,rgb_occluded,rgb_left_occluded,rgb_right_occluded
0,-0.66,0.4,False,False,False,False,False,False
1,-1.05,0.39,False,False,False,False,False,False
2,-1.34,0.38,False,False,False,False,False,False
3,-1.53,0.38,False,False,False,False,False,False
4,-1.67,0.38,False,False,False,False,False,False
5,-1.63,0.38,False,False,False,False,False,False
6,-1.63,0.38,False,False,False,False,False,False
7,-1.59,0.38,False,False,False,False,False,False
8,-1.6,0.38,False,False,False,False,False,False
9,-1.64,0.38,False,False,False,False,False,False
10,-1.69,0.38,False,False,False,False,False,False
11,-1.67,0.38,False,False,False,False,False,False
12,-1.66,0.38,False,False,False,False,False,False
13,-1.67,0.38,False,False,False,False,False,False
